variable,importancia_media_abs_shap
ANTIGUEDAD_SEMESTRES,1.1921237642216098
NIVEL_PREGRADO_1,0.7590717571804787
NIVEL_PREGRADO_2,0.543119047615066
NIVEL_PREGRADO_9,0.4674754325799418
SEXO_FEME,0.3765024305086595
NIVEL_PREGRADO_10,0.33439089233957653
FACULTAD_FACULTAD DE INGENIERIA,0.29793889191671974
NIVEL_PREGRADO_3,0.28538417758617174
FACULTAD_FACULTAD DE EDUCACION,0.2821484903976261
FACULTAD_FACULTAD DE CIENCIAS SOCIALES Y HUMANAS,0.26421587857140416
CREDITOS_ULTIM_SEMEST_MATRIC,0.25595408426620514
SEDE_CARMENVI,0.2529247669275503
NIVEL_PREGRADO_7,0.24094089207234462
FACULTAD_FACULTAD DE CIENCIAS AGRARIAS,0.22125147936463677
TIPO_ACEPTACION_POR-EXAM,0.18917313091958937
NIVEL_PREGRADO_6,0.13579715758755462
FACULTAD_FACULTAD DE CIENCIAS EXACTAS Y NATURALES,0.1322915376975388
NIVEL_PREGRADO_4,0.1286127487522372
SEDE_CAUCASIA,0.1205414444888825
SEDE_APARTADO,0.11808536129327027
NATURALEZA_COLE_OFICIAL,0.11290305097415489
ESTRATO,0.11142377321969228
SEDE_SEGOVIA,0.10996791966745079
FACULTAD_FACULTAD DE CIENCIAS ECONOMICAS,0.10922184596833821
PROM_SABER_MUNI,0.09030020280708782
PCT_RURAL_MUNI,0.08782843638034864
NIVEL_PREGRADO_8,0.08504509357669211
SEXO_MASC,0.08030374854433305
EDAD,0.0791786935227122
SEDE_ANDES,0.07700488905932404
SEDE_STAFEANT,0.05708399714513198
TIPO_ACEPTACION_ARTES,0.05427564144984883
SEDE_TURBO,0.04853367072522703
FACULTAD_FACULTAD DE DERECHO Y CIENCIAS POLITICAS,0.04495370518438557
SEDE_YARUMAL,0.04428786597009239
NIVEL_PREGRADO_5,0.03880138113462036
FACULTAD_FACULTAD DE CIENCIAS FARMACEUTICAS Y ALIMENTARIAS,0.037906379355161814
TIPO_ACEPTACION_CAMB-PRG,0.03661256407328373
FACULTAD_INSTITUTO UNIVERSITARIO DE EDUCACION FISICA Y DEPORTES,0.031602003239890236
FACULTAD_ESCUELA DE NUTRICION Y DIETETICA,0.02485482790541145
FACULTAD_FACULTAD NACIONAL DE SALUD PUBLICA,0.021380887617369348
NATURALEZA_COLE_NO OFICIAL,0.020175689230488042
TIPO_ACEPTACION_AJUNIV0,0.020045718075997615
SEDE_CAREPA,0.018603569667264036
NATURALEZA_COLE_infrequent_sklearn,0.017461767335747454
FACULTAD_FACULTAD DE COMUNICACIONES Y FILOLOGIA,0.01735867165495124
FACULTAD_FACULTAD DE MEDICINA,0.012949788984679876
TIPO_ACEPTACION_INDIGENA,0.012942632467043165
FACULTAD_ESCUELA DE IDIOMAS,0.01258519981635348
VIVE_FUERA_ANTIOQUIA,0.0123451661395844
FACULTAD_FACULTAD DE ARTES,0.012324435061636753
TIPO_ACEPTACION_SIN-EXAM,0.012024272358487397
SEDE_P-BERRIO,0.01176592617293379
SEDE_AMALFI,0.011126912321362621
TIPO_ACEPTACION_NEGRITUD,0.009066442141174778
FACULTAD_INSTITUTO DE FILOSOFIA,0.007626872989980995
FACULTAD_ESCUELA DE MICROBIOLOGIA,0.007561762552692423
FACULTAD_ESCUELA INTERAMERICANA DE BIBLIOTECOLOGIA,0.0071689465856156894
TASA_BENEF_MUNI,0.00465970058053158
SEDE_SONSON,0.004483230318066468
TIPO_ACEPTACION_REINGRES,0.0032234286862264324
SEDE_MEDELLIN,0.001629409438084148
TIPO_ACEPTACION_infrequent_sklearn,0.0015846885109795552
TIPO_ACEPTACION_AJUSTECP,0.0001306574208251978
ESTRATO_FALTANTE,0.0
