SEDE,FACULTAD,NOMBRE_MUNI_VIVE,PROGRAMA,PROB_RIESGO,DECIL_RIESGO
MEDELLIN,FACULTAD DE INGENIERIA,MEDELLIN,INGENIERIA DE SISTEMAS - REGION,1.0,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA CIVIL-APARTADO,0.9999,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9999,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9999,10
APARTADO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA CIVIL-APARTADO,0.9999,10
CARMENVI,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,LA CEJA,BIOLOGIA - CARMEN DE VIBORAL,0.9998,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA AMBIENTAL REGION,0.9997,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,ECOLOGIA DE ZONAS COSTERAS - TURBO,0.9997,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9996,10
MEDELLIN,FACULTAD DE INGENIERIA,MARINILLA,INGENIERIA AMBIENTAL REGION,0.9993,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA INDUSTRIAL REGION,0.9992,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9992,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA INDUSTRIAL REGION,0.9991,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN PEDRO DE URABA,INGENIERIA INDUSTRIAL REGION,0.999,10
CAUCASIA,FACULTAD DE CIENCIAS ECONOMICAS,BELLO,ADMINISTRACION DE EMPRESAS - CAUCASIA,0.9989,10
CAREPA,FACULTAD DE INGENIERIA,TURBO,INGENIERIA BIOQUIMICA-URABA,0.9989,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AMBIENTAL REGION,0.9988,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,ECOLOGIA DE ZONAS COSTERAS - TURBO,0.9985,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9983,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,RIONEGRO,DESARROLLO TERRITORIAL- CARMEN DE VIBORAL,0.9983,10
TURBO,FACULTAD DE CIENCIAS ECONOMICAS,TURBO,ADMINISTRACION DE EMPRESAS - TURBO,0.9978,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN JUAN DE URABA,INGENIERIA DE SISTEMAS - REGION,0.9977,10
TURBO,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA OCEANOGRAFICA - TURBO,0.9973,10
APARTADO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA SANITARIA-APARTADO,0.9971,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,RETIRO,DESARROLLO TERRITORIAL- CARMEN DE VIBORAL,0.9969,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9968,10
CAREPA,FACULTAD DE INGENIERIA,TURBO,INGENIERIA BIOQUIMICA-URABA,0.9961,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9961,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9961,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9956,10
CAUCASIA,FACULTAD DE CIENCIAS ECONOMICAS,CAUCASIA,ADMINISTRACION DE EMPRESAS - CAUCASIA,0.9945,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,CHIGORODO,INGENIERIA AGROPECUARIA-CAREPA,0.9941,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA INDUSTRIAL REGION,0.9941,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.994,10
